"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate the getquizlevels endpoint returns all available quiz difficulty levels","1221","Quiz API - Get Quiz Levels Validation","","2026-01-21","failed","2026-01-21","Quiz Management API","Client/QuizCrud.spec.js","",""
"Complete validation of Course API including create, get, update, delete, and get all operations","8218","Course - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Course API","Course/Course.spec.js","",""
"Complete validation of Course API including levels, types, CRUD operations, and retrieval","1596","Course API - Complete Validation: CRUD + Levels + Types + GetAll","","2026-01-21","failed","2026-01-21","Course Management API","Course/CourseCrud.spec.js","",""
"Complete validation of Course Section API including create, get all, update, and delete operations","1161","Course Section - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Course Section API","Course/CourseSection.spec.js","",""
"Complete quiz execution flow: Create Question Set -> Get Question Set -> Start Quiz -> Get User Score","525","Quiz API - Quiz Execution Flow: Create Question Set, Start Quiz, Get Score","","2026-01-21","failed","2026-01-21","Quiz Management API","Client/QuizCrud.spec.js","",""
"Complete validation of Video API including create operation","541","Video - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Video API","Course/Video.spec.js","",""
"Validate question creation and update with proper choice handling","465","Quiz API - Question CRUD with Choice Validation","","2026-01-21","failed","2026-01-21","Quiz Management API","Client/QuizCrud.spec.js","",""
"Validate the getallplans endpoint returns all available subscription plans with proper structure","440","Subscription API - Get All Plans Validation","","2026-01-21","failed","2026-01-21","Subscription Management API","Client/Subscription.spec.js","",""
"Validate the getplanById endpoint returns correct plan details with courses","490","Subscription API - Get Plan By ID Validation","","2026-01-21","failed","2026-01-21","Subscription Management API","Client/Subscription.spec.js","",""
"Validate the getallplaylistcategories endpoint returns all available playlist categories with proper structure","1451","Category API - Get All Playlist Categories","","2026-01-21","failed","2026-01-21","Category Management API","Client/Categories.spec.js","",""
"Validate the getallcategories endpoint returns all available categories with proper structure","1467","Category API - Get All Categories","","2026-01-21","failed","2026-01-21","Category Management API","Client/Categories.spec.js","",""
"Validate that categories and playlist categories have consistent base data","2119","Category API - Categories and Playlist Categories Consistency","","2026-01-21","failed","2026-01-21","Category Management API","Client/Categories.spec.js","",""
"Validate subscription plan creation with Weekly, Monthly, and Yearly validity types","476","Subscription API - Create Plan with Different Validity Types","","2026-01-21","failed","2026-01-21","Subscription Management API","Client/Subscription.spec.js","",""
"Validate error handling for invalid question operations","1064","Quiz API - Negative Tests: Invalid Question Operations","","2026-01-21","failed","2026-01-21","Quiz Management API","Client/QuizCrud.spec.js","",""
"Complete validation of Audio API including create, get, update, and delete operations","1113","Audio - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Audio API","Course/Audio.spec.js","",""
"Validate quiz creation with Easy, Medium, and Hard difficulty levels","522","Quiz API - Validation: Create with Multiple Levels","","2026-01-21","failed","2026-01-21","Quiz Management API","Client/QuizCrud.spec.js","",""
"Complete validation of Course Lesson API with Video content","1258","Course Lesson (Video) - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Course Lesson API","Course/CourseLesson.spec.js","",""
"Validate API behavior when requesting a non-existent plan ID","419","Subscription API - Negative Test: Get Non-Existent Plan By ID","","2026-01-21","passed","2026-01-21","Subscription Management API","Client/Subscription.spec.js","",""
"Validate the invalidatecategorycaches endpoint clears category caches successfully","1360","Category API - Invalidate Category Caches","","2026-01-21","failed","2026-01-21","Category Management API","Client/Categories.spec.js","",""
"End-to-end validation of course creation, retrieval, update, and deletion with detailed verification","461","Create a course, get course details, update course, get updated course details, delete course and verify deletion","","2026-01-21","failed","2026-01-21","Course CRUD Operations with Validation","CourseCrudoperation.spec.js","",""
"Complete validation of Document API including create, get, update, and delete operations","510","Document - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Document API","Course/Document.spec.js","",""
"Complete validation of Subscription API including Create Plan, Get All Plans, and Get Plan By ID","1197","Subscription API - Complete CRUD Flow: Create Plan, Get All Plans, Get Plan By ID","","2026-01-21","failed","2026-01-21","Subscription Management API","Client/Subscription.spec.js","",""
"Complete validation of Course Skills API including create, get all, update, and delete operations","1146","Course Skills - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Course Skills API","Course/CourseSkills.spec.js","",""
"Complete validation of Quiz API including Quiz CRUD, Question CRUD, and assignment operations","1105","Quiz API - Complete CRUD Operations: Create Quiz, Create Question, Update, GetAll, Delete","","2026-01-21","failed","2026-01-21","Quiz Management API","Client/QuizCrud.spec.js","",""
"Complete validation of Course Lesson API with Audio content","1103","Course Lesson (Audio) - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Course Lesson API","Course/CourseLesson.spec.js","",""
"Complete validation of Course Lesson API with Document content","477","Course Lesson (Document) - Complete CRUD Operations","","2026-01-21","failed","2026-01-21","Course Lesson API","Course/CourseLesson.spec.js","",""
