"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","117","","97","65","","0"
"0","Skolasti API Automation","0","Webinar Sessions Management","1","0","Sessions Negative - Invalid IDs","0"
"0","Skolasti API Automation","0","Badges Management","1","0","Badges Negative - Authentication","0"
"0","Skolasti API Automation","2","Course Management","0","0","Course CRUD Operations","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Create Plans with Different Validity Types","0"
"0","Skolasti API Automation","0","Webinar Sessions Management","1","0","Sessions Negative - Authentication","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Complete Quiz & Question CRUD Flow","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Get All Subscription Plans","0"
"0","Skolasti API Automation","0","Webinar Sessions Management","1","0","Sessions Negative - Non-existent Resources","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Subscription - Reviews","0"
"0","Skolasti API Automation","0","Chat Session Management","1","0","ChatSession Negative - End Invalid Session","0"
"0","Skolasti API Automation","1","Badges Management","0","0","Badges Positive Flow","0"
"0","Skolasti API Automation","0","Category Management","1","0","Category Negative - String Validation","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Levels API","0"
"0","Skolasti API Automation","0","Certificates Management","1","0","Certificates Negative - Authentication","0"
"0","Skolasti API Automation","0","User Course Management","1","0","User Course Negative - Invalid Progress","0"
"0","Skolasti API Automation","0","Category Management","1","0","Category Negative - Boundary Values","0"
"0","Skolasti API Automation","0","User Notification Management","1","0","Notification Negative - Missing Parameters","0"
"0","Skolasti API Automation","0","Certificates Management","1","0","Certificates Negative - Invalid Sharing","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Subscription - List Operations","0"
"0","Skolasti API Automation","0","Document Content Management","0","5","","0"
"0","Skolasti API Automation","0","Subscription Management","0","5","","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Complete Subscription Plan CRUD Flow","0"
"0","Skolasti API Automation","0","Webinar Sessions Management","1","0","Sessions Negative - Invalid Documents","0"
"0","Skolasti API Automation","0","User Notification Management","0","5","","0"
"0","Skolasti API Automation","0","Category Management","1","0","Category Negative - Invalid Creation","0"
"0","Skolasti API Automation","0","User Course Management","1","0","User Course Negative - Missing Fields","0"
"0","Skolasti API Automation","0","User Course Management","1","0","User Course Negative - Invalid Filters","0"
"0","Skolasti API Automation","1","User Course Management","0","0","User Course Positive Flow","0"
"0","Skolasti API Automation","1","Course Skills Management","0","0","Course Skills CRUD","0"
"0","Skolasti API Automation","0","Chat Session Management","1","0","ChatSession Negative - Invalid Session Start","0"
"0","Skolasti API Automation","1","Course Section Management","0","0","Course Section CRUD","0"
"0","Skolasti API Automation","0","User Course Management","1","0","User Course Negative - Authentication","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Subscription Negative - Authentication","0"
"0","Skolasti API Automation","0","Chat Session Management","0","5","","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Document CRUD","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Multi-Level Creation","0"
"0","Skolasti API Automation","0","Audio Content Management","0","5","","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Subscription CRUD - CREATE","0"
"0","Skolasti API Automation","1","User Notification Management","0","0","Notification CRUD - CREATE","0"
"0","Skolasti API Automation","1","Webinar Sessions Management","0","0","Sessions Positive Flow","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Question Choice Validation","0"
"0","Skolasti API Automation","1","User Notification Management","0","0","Multiple Notification Preferences","0"
"0","Skolasti API Automation","0","Chat Session Management","1","0","ChatSession Negative - Invalid Q&A","0"
"0","Skolasti API Automation","0","User Notification Management","1","0","Notification Negative - Authentication","0"
"0","Skolasti API Automation","1","Category Management","0","0","Get All Playlist Categories","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Subscription Negative - Non-existent Resources","0"
"0","Skolasti API Automation","0","Chat Session Management","1","0","ChatSession Negative - Invalid Q&A Payload","0"
"0","Skolasti API Automation","1","Category Management","0","0","Get All Categories","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Subscription Negative - Invalid Strings","0"
"0","Skolasti API Automation","1","Category Management","0","0","Categories Consistency Check","0"
"0","Skolasti API Automation","0","User Course Management","1","0","User Course Negative - Invalid IDs","0"
"0","Skolasti API Automation","0","Badges Management","1","0","Badges Negative - Invalid Pagination","0"
"0","Skolasti API Automation","0","Webinar Sessions Management","1","0","Sessions Negative - Invalid Dates","0"
"0","Skolasti API Automation","0","User Notification Management","1","0","Notification Negative - Non-existent Preference","0"
"0","Skolasti API Automation","1","Course Management","0","0","Complete Course Lifecycle","0"
"0","Skolasti API Automation","0","User Notification Management","1","0","Notification Negative - Invalid Category","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Negative Test - Get Non-Existent Plan","0"
"0","Skolasti API Automation","1","Category Management","0","0","Category Positive Flow","0"
"0","Skolasti API Automation","1","Video Content Management","0","0","Video CRUD","0"
"0","Skolasti API Automation","1","Document Content Management","0","0","Document CRUD - CREATE","0"
"0","Skolasti API Automation","1","Chat Session Management","0","0","Chat Session CRUD - CREATE (Start Session)","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Subscription - Wishlist","0"
"0","Skolasti API Automation","0","User Notification Management","1","0","Notification Negative - Invalid User","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Subscription Negative - Missing Fields","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Execution Flow","0"
"0","Skolasti API Automation","0","Certificates Management","1","0","Certificates Negative - Invalid Pagination","0"
"0","Skolasti API Automation","0","Chat Session Management","1","0","ChatSession Negative - Authentication","0"
"0","Skolasti API Automation","1","Chat Session Management","0","0","Chat Session - User Check","0"
"0","Skolasti API Automation","0","Badges Management","1","0","Badges Negative - Non-existent Resources","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Get Subscription Plan By ID","0"
"0","Skolasti API Automation","0","Category Management","1","0","Category Negative - Authentication","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Subscription Negative - Invalid Numbers","0"
"0","Skolasti API Automation","0","Webinar Sessions Management","1","0","Sessions Negative - Non-existent Documents","0"
"0","Skolasti API Automation","0","Certificates Management","1","0","Certificates Negative - Invalid User","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Negative Testing","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Audio CRUD","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Video CRUD","0"
"0","Skolasti API Automation","1","Audio Content Management","0","0","Audio CRUD - CREATE","0"
"0","Skolasti API Automation","1","Certificates Management","0","0","Certificates Positive Flow","0"
"0","Skolasti API Automation","1","Category Management","0","0","Invalidate Category Caches","0"
